           1   10     25000    0
         321    0
          11      8.8199     76.0231
          12     76.7010     72.7165
          21      1.8117    -21.0871
          22     84.6275     -3.6617
          31     18.3534    -86.0947
          32     86.7477    -75.2024
      831000     78.1246     70.8409
      833000      6.6014    -63.7977
        -99       0.000       0.000
         320    0
          11    -73.5371     76.1849
          12     -5.1185     74.0827
          13     86.8107     77.7142
          21    -79.1070    -21.7547
          22      3.8907     -2.7575
          23     97.4425     -9.1515
          31    -61.6312    -86.9146
          32      6.4651    -74.8285
          33     90.9551    -81.4783
     8031901     91.4331     72.9201
     8033401    101.6793    -83.6973
      831000     -4.5269     72.2180
      833000    -74.4060    -64.6563
      834000     36.2836    -70.1665
        -99       0.000       0.000
        -319    0
          12    -93.8766     74.9029
          13     -1.2843     78.4944
          22    -85.0115     -2.6804
          23      8.9734     -9.1840
          32    -83.2200    -75.2083
          33      2.2079    -81.9119
     8031901      2.8162     73.6370
     8033401     12.9887    -84.1446
      831000    -94.2226     73.0206
      834000    -52.6566    -70.5244
        -99       0.000       0.000
           1   10     25000    0
         332    0
          31     29.5349     75.2213
          32    101.0696     84.6463
          41     -3.4386      1.3283
          42     81.1658     -4.1938
          51     13.2786    -85.2855
          52     88.2937    -88.8235
      832000     18.9081    -42.8890
      833000     18.8028     99.9673
        -99       0.000       0.000
         333    0
          31    -59.2719     76.9619
          32     10.7690     88.1995
          33     98.1821     77.2614
          41    -90.1072      2.1158
          42     -5.7204     -1.4864
          43     89.9007    -15.1787
          51    -71.4664    -85.2345
          52      4.5419    -87.2655
          53     88.8537    -97.1518
     8033401    109.3261     74.5878
      832000    -66.8800    -42.0162
      833000    -71.3194    101.3413
      834000     41.8108     90.9774
     9033401     90.0003    -70.5458
        -99       0.000       0.000
        -334    0
          32    -85.7321     88.6534
          33      0.4338     78.5489
          42   -100.6373     -0.2517
          43     -6.6288    -12.6450
          52    -89.2381    -86.0886
          53     -6.9541    -94.5020
     8033401     11.3204     75.9965
      834000    -54.7796     91.5671
     9033401     -5.8743    -67.7974
        -99       0.000       0.000
